DB01148,CHEMBL1493
DB01359,CHEMBL1290
DB00246,CHEMBL708
DB04878,CHEMBL476960
DB06589,CHEMBL477772
DB00133,CHEMBL11298
DB00972,CHEMBL639
DB00322,CHEMBL917
DB00833,CHEMBL680
DB00748,CHEMBL864
DB00318,CHEMBL485
DB00666,CHEMBL1201309
DB00732,CHEMBL1360
DB06151,CHEMBL600
DB08991,CHEMBL1411693
DB00218,CHEMBL32
DB00208,CHEMBL833
DB06725,CHEMBL1569487
DB01105,CHEMBL1419
DB01078,CHEMBL1614
DB00264,CHEMBL13
DB01115,CHEMBL193
DB00304,CHEMBL1533
DB00302,CHEMBL877
DB00432,CHEMBL1129
DB00360,CHEMBL337765
DB01553,CHEMBL2107254
DB00341,CHEMBL1000
DB01158,CHEMBL1199080
DB01414,CHEMBL2110602
DB01611,CHEMBL1535
DB00960,CHEMBL500
DB08965,CHEMBL2109188
DB01203,CHEMBL649
DB00849,CHEMBL45029
DB06827,CHEMBL3085436
DB01132,CHEMBL595
DB01173,CHEMBL900
DB00479,CHEMBL177
DB00050,CHEMBL1200490
DB00426,CHEMBL880
DB00385,CHEMBL20225
DB01114,CHEMBL505
DB06707,CHEMBL677
DB04930,CHEMBL1525
DB00421,CHEMBL1393
DB08847,CHEMBL352418
DB00345,CHEMBL463
DB04942,CHEMBL25202
DB01164,CHEMBL1200668
DB00802,CHEMBL634
DB00651,CHEMBL1752
DB00852,CHEMBL1590
DB04575,CHEMBL1201165
DB00621,CHEMBL1200436
DB00198,CHEMBL1229
DB00653,CHEMBL2021423
DB01064,CHEMBL434
DB00266,CHEMBL1466
DB00201,CHEMBL113
DB00335,CHEMBL24
DB00173,CHEMBL226345
DB00964,CHEMBL647
DB00993,CHEMBL1542
DB00492,CHEMBL3306578
DB01070,CHEMBL2356023
DB00803,CHEMBL499783
DB00546,CHEMBL328250
DB00648,CHEMBL1670
DB00284,CHEMBL1566
DB00446,CHEMBL130
DB09000,CHEMBL2104153
DB00590,CHEMBL707
DB00892,CHEMBL1200
DB06810,CHEMBL1237054
DB05246,CHEMBL697
DB01029,CHEMBL1513
DB00755,CHEMBL1235644
DB08792,CHEMBL1334860
DB04711,CHEMBL1165268
DB00405,CHEMBL1201287
DB00923,CHEMBL1201046
DB01165,CHEMBL4
DB01377,CHEMBL1200572
DB00682,CHEMBL1464
DB00594,CHEMBL945
DB00549,CHEMBL603
DB00430,CHEMBL1201204
DB00158,CHEMBL1622
DB00652,CHEMBL560
DB01144,CHEMBL17
DB06414,CHEMBL308954
DB00130,CHEMBL930
DB00967,CHEMBL1172
DB01342,CHEMBL315021
DB00543,CHEMBL1113
DB00962,CHEMBL1521
DB01375,CHEMBL3185220
DB01578,CHEMBL462394
DB01124,CHEMBL782
DB01018,CHEMBL862
DB00154,CHEMBL465183
DB01066,CHEMBL454446
DB01594,CHEMBL2104926
DB01435,CHEMBL277474
DB01146,CHEMBL1492
DB00841,CHEMBL926
DB01357,CHEMBL1201151
DB00359,CHEMBL439
DB01139,CHEMBL1599
DB00230,CHEMBL1059
DB00951,CHEMBL64
DB00260,CHEMBL771
DB01382,CHEMBL1697838
